player_id,player_x,team,height,weight,position,player_y,season,team_id,gp,pts,ast,reb,fgm,fga,fg_pct,min
1629052,Oshae Brissett,,6-7,210,Forward-Guard,Oshae Brissett,2024-25,1610612755,6,52,4,22,19,39,0.487,142.0
1627763,Malcolm Brogdon,Wizards,6-4,229,Guard,Malcolm Brogdon,2024-25,1610612764,24,305,98,91,104,240,0.433,564.0
1628415,Dillon Brooks,Rockets,6-6,225,Guard-Forward,Dillon Brooks,2024-25,1610612745,75,1053,128,275,384,895,0.429,2388.0
1631232,Keion Brooks Jr.,Pelicans,6-7,210,Forward,Keion Brooks Jr.,2024-25,1610612740,14,142,13,58,53,109,0.486,332.0
1628971,Bruce Brown,Pelicans,6-4,202,Guard-Forward,Bruce Brown,2024-25,0,41,340,84,164,130,309,0.421,922.0
1627759,Jaylen Brown,Celtics,6-6,223,Guard-Forward,Jaylen Brown,2024-25,1610612738,63,1398,286,368,518,1118,0.463,2158.0
1641738,Kobe Brown,Clippers,6-7,250,Forward,Kobe Brown,2024-25,1610612746,40,77,24,65,33,72,0.458,272.0
1629650,Moses Brown,,7-2,258,Center,Moses Brown,2024-25,0,13,76,2,44,34,49,0.694,119.0
1628973,Jalen Brunson,Knicks,6-2,190,Guard,Jalen Brunson,2024-25,1610612752,65,1690,475,187,585,1200,0.487,2301.0
1628418,Thomas Bryant,Pacers,6-10,248,Center-Forward,Thomas Bryant,2024-25,0,66,429,53,251,163,321,0.508,963.0
1641723,Kobe Bufkin,Hawks,6-4,195,Guard,Kobe Bufkin,2024-25,1610612737,10,53,17,21,18,47,0.383,124.0
202692,Alec Burks,Heat,6-5,214,Guard,Alec Burks,2024-25,1610612748,49,356,55,124,115,271,0.424,864.0
1630215,Jared Butler,76ers,6-3,193,Guard,Jared Butler,2024-25,0,60,541,220,110,203,453,0.448,1044.0
202710,Jimmy Butler III,Warriors,6-7,230,Forward,Jimmy Butler III,2024-25,0,55,964,298,296,301,597,0.504,1746.0
1641824,Matas Buzelis,Bulls,6-10,209,Forward,Matas Buzelis,2024-25,1610612741,80,688,79,278,252,555,0.454,1511.0
1631288,Jamal Cain,Pelicans,6-6,191,Forward,Jamal Cain,2024-25,1610612740,37,196,22,85,68,158,0.43,502.0
203484,Kentavious Caldwell-Pope,Grizzlies,6-5,204,Guard,Kentavious Caldwell-Pope,2024-25,1610612753,77,673,136,169,239,544,0.439,2279.0
1641739,Toumani Camara,Trail Blazers,6-7,229,Forward,Toumani Camara,2024-25,1610612757,78,882,175,450,328,716,0.458,2548.0
203991,Clint Capela,Hawks,6-10,256,Center,Clint Capela,2024-25,1610612737,55,488,62,469,218,390,0.559,1176.0
1642382,Branden Carlson,Thunder,7-0,220,Center,Branden Carlson,2024-25,1610612760,32,122,14,54,43,97,0.443,246.0
1642267,Bub Carrington,Wizards,6-4,190,Guard,Bub Carrington,2024-25,1610612764,82,807,364,341,300,748,0.401,2458.0
1642269,Devin Carter,Kings,6-2,195,Guard,Devin Carter,2024-25,1610612758,36,138,41,76,47,127,0.37,396.0
1628975,Jevon Carter,Bulls,6-1,200,Guard,Jevon Carter,2024-25,1610612741,36,153,40,39,55,146,0.377,321.0
1628976,Wendell Carter Jr.,Magic,6-10,270,Center-Forward,Wendell Carter Jr.,2024-25,1610612753,68,618,134,492,226,491,0.46,1758.0
1630618,D.J. Carton,,6-3,200,Guard,D.J. Carton,2024-25,1610612761,4,3,3,4,1,7,0.143,33.0
1627936,Alex Caruso,Thunder,6-5,186,Guard,Alex Caruso,2024-25,1610612760,54,382,137,159,140,314,0.446,1041.0
1642264,Stephon Castle,Spurs,6-6,215,Guard,Stephon Castle,2024-25,1610612759,81,1190,332,297,423,988,0.428,2162.0
1630658,Colin Castleton,Raptors,6-10,250,Center,Colin Castleton,2024-25,0,26,123,28,122,46,98,0.469,432.0
1630577,Julian Champagnie,Spurs,6-7,217,Forward,Julian Champagnie,2024-25,1610612759,82,815,111,318,276,665,0.415,1932.0
1630551,Justin Champagnie,Wizards,6-6,206,Guard-Forward,Justin Champagnie,2024-25,1610612764,62,544,60,351,210,411,0.511,1341.0
1642279,Ulrich Chomche,Raptors,6-11,235,Center,Ulrich Chomche,2024-25,1610612761,7,5,2,8,2,5,0.4,32.0
1642353,Cam Christie,Clippers,6-6,190,Guard,Cam Christie,2024-25,1610612746,13,18,6,12,7,24,0.292,59.0
1631108,Max Christie,Mavericks,6-5,190,Guard,Max Christie,2024-25,0,78,749,146,258,252,590,0.427,2127.0
1630528,Josh Christopher,Heat,6-4,215,Guard,Josh Christopher,2024-25,1610612748,14,28,8,9,11,31,0.355,69.0
1631321,Sidy Cissoko,Trail Blazers,6-6,200,Guard,Sidy Cissoko,2024-25,0,22,32,15,21,13,30,0.433,114.0
1641740,Jaylen Clark,Timberwolves,6-4,205,Guard,Jaylen Clark,2024-25,1610612750,40,163,26,53,56,120,0.467,522.0
1629634,Brandon Clarke,Grizzlies,6-8,215,Forward,Brandon Clarke,2024-25,1610612763,64,534,66,326,236,380,0.621,1207.0
203903,Jordan Clarkson,Jazz,6-3,194,Guard,Jordan Clarkson,2024-25,1610612762,37,600,138,118,201,493,0.408,962.0
1629651,Nic Claxton,Nets,6-11,215,Center,Nic Claxton,2024-25,1610612751,70,724,157,515,320,568,0.563,1882.0
1642270,Donovan Clingan,Trail Blazers,7-2,280,Center,Donovan Clingan,2024-25,1610612757,67,436,77,527,180,334,0.539,1324.0
1641730,Noah Clowney,Nets,6-9,210,Forward-Center,Noah Clowney,2024-25,1610612751,46,420,40,181,133,372,0.358,1042.0
1629599,Amir Coffey,Clippers,6-7,210,Guard-Forward,Amir Coffey,2024-25,1610612746,72,696,77,161,240,510,0.471,1748.0
1642268,Isaiah Collier,Jazz,6-3,210,Guard,Isaiah Collier,2024-25,1610612762,71,615,446,235,234,555,0.422,1839.0
